ID,name,parentID
790,Togo,717
791,Kara Region,790
792,Uganda,717
793,Kampala District,792
794,United Republic of Tanzania,717
795,District of Kilwa,794
796,Lindi Region,795
797,Zanzibar,794
798,Kilimanjaro region,794
799,District Kondoa,794
800,Region Dodoma,799
801,Zimbabwe,717
802,Mashonaland North region,801
803,Urungwe District,802
804,South Province,801
805,Matebeleland,804
806,Matabeleland,801
807,Western Region,806
808,Asia and the Pacific,0
809,Afghanistan,808
810,Ghur Province,809
811,Shahrak District,810
812,Australia,808
813,State of Queensland,812
814,Off the east coast of the Queensland mainland,813
815,New South Wales,812
816,Northern territory,812
817,State of Western Australia,812
818,State of Tasmania,812
819,Western Australia,812
820,Victoria,812
821,Melbourne,820
822,Bangladesh,808
823,Khulna District,822
824,Naogaon Subdivision of Rajshahi District,822
825,South-Western Region (Khulna Division),822
826,Cambodia,808
827,Province Siem Reap,826
828,China,808
829,25 kilometres southeast of the County seat.,828
830,Gansu Province.  At the eastern foot of Mount Mingsha,829
831,Dunhuang County,830
832,Shaanxi Province,828
833,Lintong County,832
834,Beijing,828
835,Fangshanxian County,834
836,Tiantan Park,834
837,Sichuan Province,828
838,Nanping County,837
839,Songpan County,837
840,Eimeishan City,837
841,Dujiangyan City,837
842,Hunan Province,828
843,The Wulingyuan District of the City of Dayong,842
844,Hebei Province,828
845,Chengde City,844
846,Shandong Province,828
847,Qufu City,846
848,Hubei Province,828
849,Danjiangkou City,848
850,Tibet Autonomous Region,828
851,Lhasa,850
852,Jiangxi Province,828
853,Jiujiang City,852
854,Shan Xi Province,828
855,Ping Yao County,854
856,Jiangsu Province,828
857,Suzhou City,856
858,Fujian Province,828
859,Wuyishan City,858
860,Chongqing Municipality,828
861,Dazu County,860
862,Anhui Province,828
863,Huangshan city,862
864,Yi county,863
865,Henan Province,828
866,Luoyang City,865
867,Shanxi Province,828
868,Datong City,867
869,Macao Special Administrative Region,828
870,Guangdong Province,828
871,Democratic People's Republic of Korea,808
